country_iso3,year,source,event_category,event_subtype,title,summary,mechanism,policy_direction,confidence,tags,url
AFG,2011,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
AFG,2003,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Too high' to 'Satisfactory'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
AFG,2005,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
AFG,2003,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Direct support' to 'Indirect support'.,This may affect access to family planning services and reproductive choices.,restrictive,0.8,"[""family_planning_support"", ""family_planning""]",
AFG,2005,un_wpp,family_planning,government_support,Family planning support changed,Family planning support changed from 'Indirect support' to 'Direct support'.,This may affect access to family planning services and reproductive choices.,expansive,0.8,"[""family_planning_support"", ""family_planning""]",
ALB,2003,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
DZA,1986,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
DZA,1986,un_wpp,population_policy,government_view,Government view on fertility level changed,Government view on fertility level changed from 'Satisfactory' to 'Too high'.,This may reflect a shift in how fertility trends are evaluated by the government.,unknown,0.8,"[""view_on_fertility_level"", ""population_policy""]",
DZA,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,"Legal grounds for abortion changed from '1,2,3,4' to '1,2,3'.",This may affect legal access to abortion and reproductive autonomy.,restrictive,0.8,"[""abortion_grounds"", ""abortion""]",
DZA,2013,un_wpp,gender_reproductive_rights,domestic_violence_policy,Domestic violence policy changed,"Domestic violence policy changed from '1' to '1,2'.",This may reflect broader reproductive rights and protection policies.,unknown,0.8,"[""domestic_violence_policies"", ""gender_reproductive_rights""]",
DZA,2001,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Not a concern' to 'Minor concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
DZA,2013,un_wpp,reproductive_health,adolescent_fertility_concern,Concern about adolescent fertility changed,Concern about adolescent fertility changed from 'Minor concern' to 'Major concern'.,This may influence reproductive health priorities for adolescents.,unknown,0.8,"[""concern_about_adolescent_fertility"", ""reproductive_health""]",
DZA,2013,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
AND,2001,un_wpp,abortion,legal_grounds,Abortion policy changed,Legal grounds for abortion changed from 'Not permitted' to '1'.,This may affect legal access to abortion and reproductive autonomy.,unknown,0.8,"[""abortion_grounds"", ""abortion""]",
AND,2003,un_wpp,reproductive_health,adolescent_fertility_policy,Adolescent fertility policy changed,Policies to reduce adolescent fertility changed from 'No' to 'Yes'.,This may affect reproductive health interventions targeting adolescents.,unknown,0.8,"[""policies_reduce_adolescent_fertility"", ""reproductive_health""]",
AGO,2001,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'No intervention' to 'Maintain'.,This may affect how the state approaches fertility trends and demographic goals.,neutral,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
AGO,2013,un_wpp,population_policy,official_orientation,Population policy orientation changed,Population policy orientation changed from 'Maintain' to 'Lower'.,This may affect how the state approaches fertility trends and demographic goals.,anti_natal,0.8,"[""policy_on_fertility_level"", ""population_policy""]",
